rgn_id,r0_label,r1_label,r2_label,rgn_label,rgn_label_2,year,score_wgi_scale,score,gap_fill
161,World,Oceania,Polynesia,Wallis and Futuna,Wallis and Futuna,NA,NA,NA,NA
162,World,Oceania,Australia and New Zealand,New Zealand,New Zealand,2018,1.810841,0.8621682,0
163,World,Americas,Northern America,United States,United States,2018,1.24137465,0.74827493,0
164,World,Latin America and the Caribbean,Central America,Belize,Belize,2018,-0.2914891,0.44170218,0
166,World,Latin America and the Caribbean,Caribbean,Jamaica,Jamaica,2018,0.246455817,0.549291163,0
167,World,Latin America and the Caribbean,South America,Guyana,Guyana,2018,-0.210972083,0.457805583,0
168,World,Latin America and the Caribbean,South America,Suriname,Suriname,2018,-0.19486075,0.46102785,0
169,World,Latin America and the Caribbean,South America,French Guiana,French Guiana,2018,1.116860517,0.723372103,0
171,World,Latin America and the Caribbean,South America,Brazil,Brazil,2018,-0.237750067,0.452449987,0
172,World,Latin America and the Caribbean,South America,Argentina,Argentina,2018,0.007446033,0.501489207,0
173,World,Latin America and the Caribbean,South America,Uruguay,Uruguay,2018,0.863498283,0.672699657,0
174,World,Europe,Northern Europe,Finland,Finland,2018,1.7611282,0.85222564,0
175,World,Europe,Northern Europe,Denmark,Denmark,2018,1.683452967,0.836690593,0
176,World,Europe,Western Europe,Germany,Germany,2018,1.495528017,0.799105603,0
177,World,Europe,Western Europe,Netherlands,Netherlands,2018,1.6931384,0.83862768,0
178,World,Europe,Eastern Europe,Poland,Poland,2018,0.64712365,0.62942473,0
179,World,Europe,Western Europe,France,France,2018,1.116519633,0.723303927,0
180,World,Europe,Northern Europe,United Kingdom,United Kingdom,2018,1.333609083,0.766721817,0
181,World,Europe,Northern Europe,Ireland,Ireland,2018,1.396105833,0.779221167,0
182,World,Europe,Southern Europe,Spain,Spain,2018,0.808154283,0.661630857,0
183,World,Europe,Southern Europe,Portugal,Portugal,2018,1.072386683,0.714477337,0
184,World,Europe,Southern Europe,Italy,Italy,2018,0.487411733,0.597482347,0
185,World,Europe,Western Europe,Monaco,Monaco,2018,1.054946447,0.710989289,1
186,World,Europe,Southern Europe,Montenegro,Montenegro,2018,0.133898467,0.526779693,0
187,World,Europe,Southern Europe,Croatia,Croatia,2018,0.438588683,0.587717737,0
188,World,Europe,Southern Europe,Slovenia,Slovenia,2018,0.941888083,0.688377617,0
189,World,Europe,Northern Europe,Lithuania,Lithuania,2018,0.886182283,0.677236457,0
190,World,Asia,Western Asia,Qatar,Qatar,2018,0.348208867,0.569641773,0
191,World,Asia,Southern Asia,Iran,Iran,NA,NA,NA,NA
192,World,Asia,Western Asia,Iraq,Iraq,2018,-1.5402035,0.1919593,0
193,World,Africa,Western Africa,Guinea Bissau,Guinea Bissau,NA,NA,NA,NA
194,World,Africa,Western Africa,Guinea,Guinea,2018,-0.938748017,0.312250397,0
195,World,Africa,Western Africa,Ivory Coast,Ivory Coast,NA,NA,NA,NA
196,World,Africa,Western Africa,Nigeria,Nigeria,2018,-1.0719269,0.28561462,0
197,World,Africa,Middle Africa,Cameroon,Cameroon,2018,-1.05140365,0.28971927,0
198,World,Africa,Middle Africa,Gabon,Gabon,2018,-0.741513667,0.351697267,0
199,World,Africa,Middle Africa,Democratic Republic of the Congo,Democratic Republic of the Congo,NA,NA,NA,NA
200,World,Africa,Middle Africa,Angola,Angola,2018,-0.913848583,0.317230283,0
202,World,Africa,Eastern Africa,Tanzania,Tanzania,2018,-0.549282717,0.390143457,0
203,World,Asia,Southern Asia,India,India,2018,-0.106395183,0.478720963,0
204,World,Asia,Southern Asia,Bangladesh,Bangladesh,2018,-0.8134706,0.33730588,0
205,World,Asia,South-Eastern Asia,Myanmar,Myanmar,2018,-0.939838633,0.312032273,0
206,World,Asia,South-Eastern Asia,Malaysia,Malaysia,2018,0.474806333,0.594961267,0
