species_id,sciname,kingdom,phylum,tot_count_cells,num_countries,xbd
W-Msc-428349,Conus sanderi,Animalia,Mollusca,191,9,transboundary
W-Msc-428373,Conus sulcocastaneus,Animalia,Mollusca,415,10,transboundary
W-Msc-428376,Conus suturatus,Animalia,Mollusca,1536,24,transboundary
W-Msc-428377,Conus swainsoni,Animalia,Mollusca,117,5,transboundary
W-Msc-428403,Conus vimineus,Animalia,Mollusca,1116,14,transboundary
W-Msc-428408,Conus voluminalis,Animalia,Mollusca,1295,17,transboundary
W-Msc-428410,Conus wittigi,Animalia,Mollusca,412,12,transboundary
W-Msc-428931,Lovellona peaseana,Animalia,Mollusca,284,7,transboundary
W-Msc-428940,Conus biliosus,Animalia,Mollusca,1740,41,transboundary
W-Msc-428986,Conus raoulensis,Animalia,Mollusca,19,4,transboundary
W-Msc-428994,Conus saecularis,Animalia,Mollusca,725,17,transboundary
W-Msc-429011,Conus visagenus,Animalia,Mollusca,9,1,singlecountry
W-Msc-430142,Taranteconus chiangi,Animalia,Mollusca,588,26,transboundary
W-Msc-430319,Turritella variegata,Animalia,Mollusca,556,33,transboundary
W-Msc-430327,Conus cedonulli,Animalia,Mollusca,6,3,transboundary
W-Msc-430397,Cadlina sparsa,Animalia,Mollusca,1095,19,transboundary
W-Msc-430414,Atlanta californiensis,Animalia,Mollusca,209,3,transboundary
W-Msc-430441,Conus wallangra,Animalia,Mollusca,376,11,transboundary
W-Msc-430582,Prionovolva brevis,Animalia,Mollusca,1643,22,transboundary
W-Msc-431060,Ovula costellata,Animalia,Mollusca,1537,28,transboundary
