iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,num_countries,xbd
17245,Physiculus helenaensis,ANIMALIA,CHORDATA,DD,360,1,singlecountry
18145,Priolepis robinsi,ANIMALIA,CHORDATA,LC,451,4,transboundary
18374,Protemblemaria punctata,ANIMALIA,CHORDATA,LC,157,1,singlecountry
18376,Proterorhinus marmoratus,ANIMALIA,CHORDATA,LC,1755,7,transboundary
18510,Pseudochromis pesi,ANIMALIA,CHORDATA,VU,726,3,transboundary
18596,Pseudorca crassidens,ANIMALIA,CHORDATA,NT,1939019,196,transboundary
19387,Redigobius dewaali,ANIMALIA,CHORDATA,LC,575,2,transboundary
19388,Redigobius bikolanus,ANIMALIA,CHORDATA,LC,25925,31,transboundary
19488,Rhincodon typus,ANIMALIA,CHORDATA,EN,1712952,159,transboundary
19798,Parasaccogaster melanomycter,ANIMALIA,CHORDATA,DD,68,1,singlecountry
19896,Sanopus astrifer,ANIMALIA,CHORDATA,VU,157,1,singlecountry
19897,Sanopus greenfieldorum,ANIMALIA,CHORDATA,VU,88,1,singlecountry
19898,Sanopus reticulatus,ANIMALIA,CHORDATA,EN,37,1,singlecountry
19899,Sanopus splendidus,ANIMALIA,CHORDATA,EN,40,2,transboundary
19950,Scarus guacamaia,ANIMALIA,CHORDATA,NT,7491,39,transboundary
20047,Scomberomorus concolor,ANIMALIA,CHORDATA,VU,2857,2,transboundary
20314,Solegnathus dunckeri,ANIMALIA,CHORDATA,DD,1861,1,singlecountry
20315,Solegnathus hardwickii,ANIMALIA,CHORDATA,DD,36213,9,transboundary
20316,Solegnathus lettiensis,ANIMALIA,CHORDATA,DD,12810,5,transboundary
20317,Solegnathus robustus,ANIMALIA,CHORDATA,LC,494,1,singlecountry
20318,Solegnathus spinosissimus,ANIMALIA,CHORDATA,DD,6825,2,transboundary
20425,Sousa teuszii,ANIMALIA,CHORDATA,CR,1755,20,transboundary
20724,Stegastes sanctaehelenae,ANIMALIA,CHORDATA,LC,5,1,singlecountry
20729,Stenella attenuata,ANIMALIA,CHORDATA,LC,2090455,165,transboundary
20730,Stenella clymene,ANIMALIA,CHORDATA,LC,296403,66,transboundary
20731,Stenella coeruleoalba,ANIMALIA,CHORDATA,LC,2512113,190,transboundary
20732,Stenella frontalis,ANIMALIA,CHORDATA,LC,484207,75,transboundary
20733,Stenella longirostris,ANIMALIA,CHORDATA,LC,1973517,161,transboundary
