iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,cell_cutoff,num_countries,xbd
20731,Stenella coeruleoalba,ANIMALIA,CHORDATA,LC,2512113,125605.65,183,transboundary
20732,Stenella frontalis,ANIMALIA,CHORDATA,LC,484207,24210.35,74,transboundary
20733,Stenella longirostris,ANIMALIA,CHORDATA,LC,1973517,98675.85,156,transboundary
20738,Steno bredanensis,ANIMALIA,CHORDATA,LC,2084322,104216.1,180,transboundary
20795,Stereolepis gigas,ANIMALIA,CHORDATA,CR,2393,119.65,2,transboundary
21257,Syngnathus abaster,ANIMALIA,CHORDATA,LC,10748,537.4,24,transboundary
21326,Taenioides jacksoni,ANIMALIA,CHORDATA,LR/nt,168,8.4,1,singlecountry
21341,Takifugu niphobles,ANIMALIA,CHORDATA,LC,16120,806,7,transboundary
21342,Takifugu poecilonotus,ANIMALIA,CHORDATA,LC,5236,261.8,5,transboundary
21343,Takifugu xanthopterus,ANIMALIA,CHORDATA,LC,13450,672.5,6,transboundary
21500,Tasmacetus shepherdi,ANIMALIA,CHORDATA,DD,567485,28374.25,18,transboundary
21628,Teramulus kieneri,ANIMALIA,CHORDATA,LC,442,22.1,1,singlecountry
21689,Thalassoma ascensionis,ANIMALIA,CHORDATA,DD,4,0.2,1,singlecountry
21855,Thryssa scratchleyi,ANIMALIA,CHORDATA,DD,6641,332.05,4,transboundary
21856,Thunnus alalunga,ANIMALIA,CHORDATA,NT,1985773,99288.65,144,transboundary
21857,Thunnus albacares,ANIMALIA,CHORDATA,NT,2098726,104936.3,152,transboundary
21858,Thunnus maccoyii,ANIMALIA,CHORDATA,CR,662278,33113.9,27,transboundary
21859,Thunnus obesus,ANIMALIA,CHORDATA,VU,2190203,109510.15,139,transboundary
21860,Thunnus thynnus,ANIMALIA,CHORDATA,EN,319083,15954.15,77,transboundary
21994,Torquigener brevipinnis,ANIMALIA,CHORDATA,LC,7808,390.4,5,transboundary
22003,Totoaba macdonaldi,ANIMALIA,CHORDATA,CR,635,31.75,1,singlecountry
22103,Trichechus manatus,ANIMALIA,CHORDATA,VU,9082,454.1,24,transboundary
22104,Trichechus senegalensis,ANIMALIA,CHORDATA,VU,3305,165.25,18,transboundary
22563,Tursiops truncatus,ANIMALIA,CHORDATA,LC,2530879,126543.95,198,transboundary
22823,Ursus maritimus,ANIMALIA,CHORDATA,VU,167255,8362.75,9,transboundary
23148,Xiphias gladius,ANIMALIA,CHORDATA,LC,2674921,133746.05,190,transboundary
23211,Ziphius cavirostris,ANIMALIA,CHORDATA,LC,2893060,144653,192,transboundary
23259,Zosterisessor ophiocephalus,ANIMALIA,CHORDATA,LC,3962,198.1,12,transboundary
31382,Rhizophora apiculata,PLANTAE,TRACHEOPHYTA,LC,29915,1495.75,24,transboundary
33705,Dolichandrone spathacea,PLANTAE,TRACHEOPHYTA,LC,23187,1159.35,19,transboundary
34364,Aglaia cucullata,PLANTAE,TRACHEOPHYTA,DD,17834,891.7,10,transboundary
39303,Dermatolepis inermis,ANIMALIA,CHORDATA,DD,10270,513.5,28,transboundary
39324,Notorynchus cepedianus,ANIMALIA,CHORDATA,DD,39933,1996.65,22,transboundary
39327,Pristiophorus cirratus,ANIMALIA,CHORDATA,LC,8226,411.3,1,singlecountry
39328,Squatina californica,ANIMALIA,CHORDATA,NT,3357,167.85,3,transboundary
39329,Squatina argentina,ANIMALIA,CHORDATA,CR,4137,206.85,3,transboundary
39331,Squatina occulta,ANIMALIA,CHORDATA,CR,4030,201.5,3,transboundary
39332,Squatina squatina,ANIMALIA,CHORDATA,CR,8688,434.4,15,transboundary
39333,Heterodontus francisci,ANIMALIA,CHORDATA,DD,4802,240.1,2,transboundary
39334,Heterodontus portusjacksoni,ANIMALIA,CHORDATA,LC,6914,345.7,2,transboundary
39335,Brachaelurus colcloughi,ANIMALIA,CHORDATA,VU,1483,74.15,1,singlecountry
39336,Odontaspis noronhai,ANIMALIA,CHORDATA,LC,43563,2178.15,11,transboundary
39337,Pseudocarcharias kamoharai,ANIMALIA,CHORDATA,LC,1859118,92955.9,133,transboundary
39338,Megachasma pelagios,ANIMALIA,CHORDATA,LC,2012406,100620.3,150,transboundary
39339,Alopias vulpinus,ANIMALIA,CHORDATA,VU,2642757,132137.85,195,transboundary
39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,EN,2426950,121347.5,183,transboundary
39342,Lamna ditropis,ANIMALIA,CHORDATA,LC,239606,11980.3,9,transboundary
39345,Haploblepharus edwardsii,ANIMALIA,CHORDATA,NT,1130,56.5,2,transboundary
39346,Haploblepharus fuscus,ANIMALIA,CHORDATA,VU,1347,67.35,1,singlecountry
39347,Schroederichthys bivius,ANIMALIA,CHORDATA,DD,15038,751.9,6,transboundary
39348,Poroderma africanum,ANIMALIA,CHORDATA,NT,7670,383.5,8,transboundary
39349,Scyliorhinus capensis,ANIMALIA,CHORDATA,NT,6140,307,2,transboundary
39350,Leptocharias smithii,ANIMALIA,CHORDATA,NT,11039,551.95,39,transboundary
39351,Furgaleus macki,ANIMALIA,CHORDATA,LC,6211,310.55,1,singlecountry
39352,Galeorhinus galeus,ANIMALIA,CHORDATA,VU,113608,5680.4,66,transboundary
39353,Hemitriakis leucoperiptera,ANIMALIA,CHORDATA,EN,6478,323.9,2,transboundary
39354,Hypogaleus hyugaensis,ANIMALIA,CHORDATA,LC,19699,984.95,10,transboundary
39355,Mustelus antarcticus,ANIMALIA,CHORDATA,LC,8492,424.6,1,singlecountry
39356,Mustelus lenticulatus,ANIMALIA,CHORDATA,LC,8190,409.5,1,singlecountry
39357,Mustelus asterias,ANIMALIA,CHORDATA,LC,17373,868.65,30,transboundary
39358,Mustelus mustelus,ANIMALIA,CHORDATA,VU,36271,1813.55,30,transboundary
39359,Mustelus canis,ANIMALIA,CHORDATA,NT,23474,1173.7,39,transboundary
39360,Scylliogaleus quecketti,ANIMALIA,CHORDATA,VU,992,49.6,1,singlecountry
39361,Triakis acutipinna,ANIMALIA,CHORDATA,EN,1232,61.6,3,transboundary
39362,Triakis megalopterus,ANIMALIA,CHORDATA,NT,2789,139.45,3,transboundary
39363,Triakis semifasciata,ANIMALIA,CHORDATA,LC,2027,101.35,2,transboundary
39365,Carcharhinus amblyrhynchos,ANIMALIA,CHORDATA,NT,46462,2323.1,34,transboundary
39366,Carcharhinus amboinensis,ANIMALIA,CHORDATA,DD,66530,3326.5,36,transboundary
39367,Carcharhinus borneensis,ANIMALIA,CHORDATA,EN,22004,1100.2,7,transboundary
39368,Carcharhinus brevipinna,ANIMALIA,CHORDATA,NT,83603,4180.15,105,transboundary
