species_id,sciname,kingdom,phylum,class,tot_count_cells,num_countries,xbd
W-Msc-507441,Anomalocardia cuneimeris,Animalia,Mollusca,Bivalvia,1893,4,transboundary
W-Msc-507448,Glauconome chinensis,Animalia,Mollusca,Bivalvia,1039,1,singlecountry
W-Msc-507453,Glauconome cerea,Animalia,Mollusca,Bivalvia,11157,8,transboundary
W-Msc-507469,Petricola carditoides,Animalia,Mollusca,Bivalvia,1053,3,transboundary
W-Msc-507479,Antigona chemnitzii,Animalia,Mollusca,Bivalvia,40501,32,transboundary
W-Msc-507486,Periglypta reticulata,Animalia,Mollusca,Bivalvia,94798,86,transboundary
W-Msc-507522,Circe intermedia,Animalia,Mollusca,Bivalvia,9335,20,transboundary
W-Msc-507553,Dosinia concentrica,Animalia,Mollusca,Bivalvia,750,9,transboundary
W-Msc-507564,Dosinia tumida,Animalia,Mollusca,Bivalvia,27129,11,transboundary
W-Msc-507589,Dosinia japonica,Animalia,Mollusca,Bivalvia,6998,7,transboundary
W-Msc-507590,Dosinia laminata,Animalia,Mollusca,Bivalvia,45492,26,transboundary
W-Msc-507644,Retrotapes exalbidus,Animalia,Mollusca,Bivalvia,15081,8,transboundary
W-Msc-507668,Globivenus toreuma,Animalia,Mollusca,Bivalvia,74813,64,transboundary
W-Msc-507686,Humilaria kennerleyi,Animalia,Mollusca,Bivalvia,2638,2,transboundary
W-Msc-507737,Leukoma staminea,Animalia,Mollusca,Bivalvia,3537,3,transboundary
W-Msc-507754,Lioconcha fastigiata,Animalia,Mollusca,Bivalvia,42133,30,transboundary
W-Msc-507761,Lioconcha annettae,Animalia,Mollusca,Bivalvia,35790,26,transboundary
W-Msc-507768,Katelysia japonica,Animalia,Mollusca,Bivalvia,64892,40,transboundary
W-Msc-507769,Marcia opima,Animalia,Mollusca,Bivalvia,19258,20,transboundary
W-Msc-507776,Meretrix lyrata,Animalia,Mollusca,Bivalvia,41909,25,transboundary
W-Msc-507786,Nutricola lordi,Animalia,Mollusca,Bivalvia,4610,7,transboundary
W-Msc-507789,Nutricola tantilla,Animalia,Mollusca,Bivalvia,2280,2,transboundary
W-Msc-507801,Paphia semirugata,Animalia,Mollusca,Bivalvia,83232,39,transboundary
W-Msc-507829,Pitar prora,Animalia,Mollusca,Bivalvia,43237,56,transboundary
W-Msc-507842,Pitar citrinus,Animalia,Mollusca,Bivalvia,77371,60,transboundary
W-Msc-507843,Pitar pellucidus,Animalia,Mollusca,Bivalvia,89311,83,transboundary
W-Msc-507872,Placamen lamellata,Animalia,Mollusca,Bivalvia,54074,41,transboundary
W-Msc-507899,Sunetta menstrualis,Animalia,Mollusca,Bivalvia,50931,28,transboundary
W-Msc-507902,Sunetta truncata,Animalia,Mollusca,Bivalvia,79277,56,transboundary
W-Msc-507909,Tapes sericeus,Animalia,Mollusca,Bivalvia,32889,23,transboundary
W-Msc-507910,Tapes platyptycha,Animalia,Mollusca,Bivalvia,39390,26,transboundary
W-Msc-507917,Tawera elliptica,Animalia,Mollusca,Bivalvia,11598,5,transboundary
W-Msc-509641,Diaphana tasmanica,Animalia,Mollusca,Gastropoda,2052,2,transboundary
W-Msc-509643,Diaphana brazieri,Animalia,Mollusca,Gastropoda,27246,11,transboundary
W-Msc-509649,Diaphana californica,Animalia,Mollusca,Gastropoda,1610,3,transboundary
