species_id,sciname,kingdom,phylum,class,tot_count_cells,num_eez,xbd,category,tax_group,eez_bins_2
133671,Heteropsammia eupsammides,ANIMALIA,CNIDARIA,ANTHOZOA,27659,12,transboundary,NT,Invertebrate,"[10,25)"
133672,Acropora efflorescens,ANIMALIA,CNIDARIA,ANTHOZOA,29732,19,transboundary,DD,Invertebrate,"[10,25)"
133673,Fungia paumotensis,ANIMALIA,CNIDARIA,ANTHOZOA,66489,49,transboundary,LC,Invertebrate,"[25,51)"
133674,Montipora mollis,ANIMALIA,CNIDARIA,ANTHOZOA,71524,56,transboundary,LC,Invertebrate,"[51,221]"
133675,Alveopora tizardi,ANIMALIA,CNIDARIA,ANTHOZOA,64908,50,transboundary,LC,Invertebrate,"[25,51)"
133676,Psammocora vaughani,ANIMALIA,CNIDARIA,ANTHOZOA,3422,15,transboundary,NT,Invertebrate,"[10,25)"
133677,Acropora massawensis,ANIMALIA,CNIDARIA,ANTHOZOA,2318,6,transboundary,DD,Invertebrate,"[3,10)"
133678,Acropora copiosa,ANIMALIA,CNIDARIA,ANTHOZOA,38519,30,transboundary,DD,Invertebrate,"[25,51)"
133679,Heteropsammia cochlea,ANIMALIA,CNIDARIA,ANTHOZOA,71965,55,transboundary,LC,Invertebrate,"[51,221]"
133680,Porites astreoides,ANIMALIA,CNIDARIA,ANTHOZOA,16572,52,transboundary,LC,Invertebrate,"[51,221]"
133681,Acropora torresiana,ANIMALIA,CNIDARIA,ANTHOZOA,3871,4,transboundary,DD,Invertebrate,"[3,10)"
133682,Acropora subulata,ANIMALIA,CNIDARIA,ANTHOZOA,62859,46,transboundary,LC,Invertebrate,"[25,51)"
133683,Pectinia maxima,ANIMALIA,CNIDARIA,ANTHOZOA,21561,7,transboundary,EN,Invertebrate,"[3,10)"
133684,Coscinaraea hahazimaensis,ANIMALIA,CNIDARIA,ANTHOZOA,760,1,singlecountry,VU,Invertebrate,"[1,2)"
133685,Stylophora pistillata,ANIMALIA,CNIDARIA,ANTHOZOA,71962,66,transboundary,NT,Invertebrate,"[51,221]"
133686,Leptoseris cailleti,ANIMALIA,CNIDARIA,ANTHOZOA,8882,33,transboundary,LC,Invertebrate,"[25,51)"
133687,Echinopora forskaliana,ANIMALIA,CNIDARIA,ANTHOZOA,7400,20,transboundary,NT,Invertebrate,"[10,25)"
133688,Acropora elegans,ANIMALIA,CNIDARIA,ANTHOZOA,9393,7,transboundary,VU,Invertebrate,"[3,10)"
133689,Anacropora reticulata,ANIMALIA,CNIDARIA,ANTHOZOA,28021,17,transboundary,VU,Invertebrate,"[10,25)"
133690,Cyphastrea japonica,ANIMALIA,CNIDARIA,ANTHOZOA,32886,14,transboundary,LC,Invertebrate,"[10,25)"
133691,Pocillopora effusus,ANIMALIA,CNIDARIA,ANTHOZOA,1150,2,transboundary,DD,Invertebrate,"[2,3)"
133692,Parasimplastrea sheppardi,ANIMALIA,CNIDARIA,ANTHOZOA,2407,9,transboundary,EN,Invertebrate,"[3,10)"
133693,Sandalolitha robusta,ANIMALIA,CNIDARIA,ANTHOZOA,52866,26,transboundary,LC,Invertebrate,"[25,51)"
133694,Pectinia ayleni,ANIMALIA,CNIDARIA,ANTHOZOA,33226,14,transboundary,NT,Invertebrate,"[10,25)"
133695,Caulastrea curvata,ANIMALIA,CNIDARIA,ANTHOZOA,47638,20,transboundary,VU,Invertebrate,"[10,25)"
133696,Montipora altasepta,ANIMALIA,CNIDARIA,ANTHOZOA,26481,18,transboundary,VU,Invertebrate,"[10,25)"
133697,Turbinaria reniformis,ANIMALIA,CNIDARIA,ANTHOZOA,73867,66,transboundary,VU,Invertebrate,"[51,221]"
133698,Acropora nana,ANIMALIA,CNIDARIA,ANTHOZOA,58301,38,transboundary,NT,Invertebrate,"[25,51)"
133699,Acropora filiformis,ANIMALIA,CNIDARIA,ANTHOZOA,1051,2,transboundary,DD,Invertebrate,"[2,3)"
133700,Montipora hoffmeisteri,ANIMALIA,CNIDARIA,ANTHOZOA,60085,43,transboundary,LC,Invertebrate,"[25,51)"
133701,Ctenella chagius,ANIMALIA,CNIDARIA,ANTHOZOA,448,3,transboundary,EN,Invertebrate,"[3,10)"
133702,Pavona duerdeni,ANIMALIA,CNIDARIA,ANTHOZOA,77320,74,transboundary,LC,Invertebrate,"[51,221]"
133703,Porites ericacea,ANIMALIA,CNIDARIA,ANTHOZOA,123,1,singlecountry,DD,Invertebrate,"[1,2)"
135525,Pomatoschistus microps,ANIMALIA,CHORDATA,ACTINOPTERYGII,15742,20,transboundary,LC,Vertebrate,"[10,25)"
135567,Mugil cephalus,ANIMALIA,CHORDATA,ACTINOPTERYGII,134357,135,transboundary,LC,Vertebrate,"[51,221]"
135579,Chelon auratus,ANIMALIA,CHORDATA,ACTINOPTERYGII,22552,41,transboundary,LC,Vertebrate,"[25,51)"
135606,Dicentrarchus labrax,ANIMALIA,CHORDATA,ACTINOPTERYGII,21417,40,transboundary,LC,Vertebrate,"[25,51)"
135644,Alosa algeriensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,698,5,transboundary,DD,Vertebrate,"[3,10)"
135681,Chelon saliens,ANIMALIA,CHORDATA,ACTINOPTERYGII,15148,44,transboundary,LC,Vertebrate,"[25,51)"
135689,Chelon labrosus,ANIMALIA,CHORDATA,ACTINOPTERYGII,22779,44,transboundary,LC,Vertebrate,"[25,51)"
135714,Chelon ramada,ANIMALIA,CHORDATA,ACTINOPTERYGII,16935,37,transboundary,LC,Vertebrate,"[25,51)"
136315,Orcaella heinsohni,ANIMALIA,CHORDATA,MAMMALIA,3573,1,singlecountry,VU,Vertebrate,"[1,2)"
136623,Balaenoptera omurai,ANIMALIA,CHORDATA,MAMMALIA,156877,49,transboundary,DD,Vertebrate,"[25,51)"
153534,Posidonia oceanica,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,2054,13,transboundary,LC,Plant,"[10,25)"
153535,Cymodocea nodosa,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,7964,27,transboundary,LC,Plant,"[25,51)"
153538,Zostera marina,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,59643,46,transboundary,LC,Plant,"[25,51)"
154616,Diaphus diadematus,ANIMALIA,CHORDATA,ACTINOPTERYGII,329,2,transboundary,LC,Vertebrate,"[2,3)"
154617,Bryx veleronis,ANIMALIA,CHORDATA,ACTINOPTERYGII,851,3,transboundary,DD,Vertebrate,"[3,10)"
154621,Amblygobius tekomaji,ANIMALIA,CHORDATA,ACTINOPTERYGII,3477,14,transboundary,LC,Vertebrate,"[10,25)"
154623,Cheilinus trilobatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,58408,55,transboundary,LC,Vertebrate,"[51,221]"
154624,Peprilus paru,ANIMALIA,CHORDATA,ACTINOPTERYGII,20899,22,transboundary,LC,Vertebrate,"[10,25)"
154626,Helcogramma striata,ANIMALIA,CHORDATA,ACTINOPTERYGII,22637,21,transboundary,LC,Vertebrate,"[10,25)"
154629,Siokunichthys nigrolineatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,9738,5,transboundary,DD,Vertebrate,"[3,10)"
154630,Canthigaster inframacula,ANIMALIA,CHORDATA,ACTINOPTERYGII,688,2,transboundary,LC,Vertebrate,"[2,3)"
154632,Uranoscopus oligolepis,ANIMALIA,CHORDATA,ACTINOPTERYGII,1922,2,transboundary,LC,Vertebrate,"[2,3)"
