iucn_sid,sciname,category,kingdom,phylum,class
13654,Neomonachus schauinslandi,EN,ANIMALIA,CHORDATA,MAMMALIA
13704,Monodon monoceros,LC,ANIMALIA,CHORDATA,MAMMALIA
14048,Mycteroperca cidi,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
14049,Mycteroperca jordani,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
14050,Mycteroperca microlepis,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
14051,Mycteroperca olfax,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
14052,Mycteroperca prionura,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
14053,Mycteroperca rosacea,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
14054,Mycteroperca rubra,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
14264,Myxus capensis,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
14549,Neophoca cinerea,EN,ANIMALIA,CHORDATA,MAMMALIA
15106,Odobenus rosmarus,VU,ANIMALIA,CHORDATA,MAMMALIA
15184,Ogilbia galapagosensis,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
15269,Ommatophoca rossii,LC,ANIMALIA,CHORDATA,MAMMALIA
15419,Orcaella brevirostris,EN,ANIMALIA,CHORDATA,MAMMALIA
15421,Orcinus orca,DD,ANIMALIA,CHORDATA,MAMMALIA
15873,Pagrus pagrus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
15939,Pandaka pygmaea,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
16011,Favonigobius melanobranchus,LR/nt,ANIMALIA,CHORDATA,ACTINOPTERYGII
16012,Favonigobius reichei,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
16474,Pegasus lancifer,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
16475,Pegasus laternarius,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
16476,Pegasus volitans,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
16564,Peponocephala electra,LC,ANIMALIA,CHORDATA,MAMMALIA
17013,Phoca vitulina,LC,ANIMALIA,CHORDATA,MAMMALIA
17023,Phoca largha,LC,ANIMALIA,CHORDATA,MAMMALIA
17026,Phocarctos hookeri,EN,ANIMALIA,CHORDATA,MAMMALIA
17027,Phocoena phocoena,LC,ANIMALIA,CHORDATA,MAMMALIA
17028,Phocoena sinus,CR,ANIMALIA,CHORDATA,MAMMALIA
17029,Phocoena spinipinnis,NT,ANIMALIA,CHORDATA,MAMMALIA
17032,Phocoenoides dalli,LC,ANIMALIA,CHORDATA,MAMMALIA
17096,Phycodurus eques,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
17177,Phyllopteryx taeniolatus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
17245,Physiculus helenaensis,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
18145,Priolepis robinsi,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
18374,Protemblemaria punctata,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
18376,Proterorhinus marmoratus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
18510,Pseudochromis pesi,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
18596,Pseudorca crassidens,NT,ANIMALIA,CHORDATA,MAMMALIA
19387,Redigobius dewaali,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
19388,Redigobius bikolanus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
19488,Rhincodon typus,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
19798,Parasaccogaster melanomycter,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
19896,Sanopus astrifer,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
19897,Sanopus greenfieldorum,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
19898,Sanopus reticulatus,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
19899,Sanopus splendidus,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
19950,Scarus guacamaia,NT,ANIMALIA,CHORDATA,ACTINOPTERYGII
20047,Scomberomorus concolor,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
20314,Solegnathus dunckeri,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
20315,Solegnathus hardwickii,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
20316,Solegnathus lettiensis,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
20317,Solegnathus robustus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
20318,Solegnathus spinosissimus,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
20425,Sousa teuszii,CR,ANIMALIA,CHORDATA,MAMMALIA
20724,Stegastes sanctaehelenae,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
20729,Stenella attenuata,LC,ANIMALIA,CHORDATA,MAMMALIA
20730,Stenella clymene,LC,ANIMALIA,CHORDATA,MAMMALIA
20731,Stenella coeruleoalba,LC,ANIMALIA,CHORDATA,MAMMALIA
20732,Stenella frontalis,LC,ANIMALIA,CHORDATA,MAMMALIA
20733,Stenella longirostris,LC,ANIMALIA,CHORDATA,MAMMALIA
20738,Steno bredanensis,LC,ANIMALIA,CHORDATA,MAMMALIA
20795,Stereolepis gigas,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
21257,Syngnathus abaster,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
21326,Taenioides jacksoni,LR/nt,ANIMALIA,CHORDATA,ACTINOPTERYGII
21341,Takifugu niphobles,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
21342,Takifugu poecilonotus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
21343,Takifugu xanthopterus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
21500,Tasmacetus shepherdi,DD,ANIMALIA,CHORDATA,MAMMALIA
21628,Teramulus kieneri,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
21689,Thalassoma ascensionis,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
21855,Thryssa scratchleyi,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
21856,Thunnus alalunga,NT,ANIMALIA,CHORDATA,ACTINOPTERYGII
21857,Thunnus albacares,NT,ANIMALIA,CHORDATA,ACTINOPTERYGII
21858,Thunnus maccoyii,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
21859,Thunnus obesus,VU,ANIMALIA,CHORDATA,ACTINOPTERYGII
21860,Thunnus thynnus,EN,ANIMALIA,CHORDATA,ACTINOPTERYGII
21994,Torquigener brevipinnis,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
22003,Totoaba macdonaldi,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII
22103,Trichechus manatus,VU,ANIMALIA,CHORDATA,MAMMALIA
22104,Trichechus senegalensis,VU,ANIMALIA,CHORDATA,MAMMALIA
22563,Tursiops truncatus,LC,ANIMALIA,CHORDATA,MAMMALIA
22823,Ursus maritimus,VU,ANIMALIA,CHORDATA,MAMMALIA
23148,Xiphias gladius,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
23211,Ziphius cavirostris,LC,ANIMALIA,CHORDATA,MAMMALIA
23259,Zosterisessor ophiocephalus,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
31382,Rhizophora apiculata,LC,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA
33705,Dolichandrone spathacea,LC,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA
34364,Aglaia cucullata,DD,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA
39303,Dermatolepis inermis,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
39324,Notorynchus cepedianus,DD,ANIMALIA,CHORDATA,CHONDRICHTHYES
39327,Pristiophorus cirratus,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39328,Squatina californica,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39329,Squatina argentina,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES
39330,,,,,
39331,Squatina occulta,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES
39332,Squatina squatina,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES
39333,Heterodontus francisci,DD,ANIMALIA,CHORDATA,CHONDRICHTHYES
39334,Heterodontus portusjacksoni,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39335,Brachaelurus colcloughi,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
