iucn_spp_group,iucn_sid,class,iucn_sciname,am_sid,am_sciname,am_reviewed,am_sid_old,kingdom,redlist_category,iucn_sid_other
MARINE_MAMMALS,13246,Mammalia,Mesoplodon ginkgodens,ITS-Mam-180510,Mesoplodon ginkgodens,1,NA,ANIMALIA,DD,13246
MARINE_MAMMALS,13247,Mammalia,Mesoplodon grayi,ITS-Mam-180511,Mesoplodon grayi,1,NA,ANIMALIA,DD,13247
MARINE_MAMMALS,13248,Mammalia,Mesoplodon hectori,ITS-Mam-180507,Mesoplodon hectori,1,NA,ANIMALIA,DD,13248
MARINE_MAMMALS,13249,Mammalia,Mesoplodon layardii,ITS-Mam-180516,Mesoplodon layardii,1,NA,ANIMALIA,LC,13249
MARINE_MAMMALS,13250,Mammalia,Mesoplodon mirus,ITS-Mam-180508,Mesoplodon mirus,1,NA,ANIMALIA,DD,13250
MARINE_MAMMALS,13251,Mammalia,Mesoplodon peruvianus,ITS-Mam-552772,Mesoplodon peruvianus,NA,NA,ANIMALIA,DD,13251
MARINE_MAMMALS,13252,Mammalia,Mesoplodon stejnegeri,ITS-Mam-180514,Mesoplodon stejnegeri,NA,NA,ANIMALIA,DD,13252
MARINE_MAMMALS,13581,Mammalia,Mirounga angustirostris,ITS-Mam-180672,Mirounga angustirostris,1,NA,ANIMALIA,LC,13581
MARINE_MAMMALS,13583,Mammalia,Mirounga leonina,ITS-Mam-180671,Mirounga leonina,1,NA,ANIMALIA,LC,13583
MARINE_MAMMALS,13653,Mammalia,Monachus monachus,ITS-Mam-180659,Monachus monachus,1,NA,ANIMALIA,EN,13653
MARINE_MAMMALS,13654,Mammalia,Neomonachus schauinslandi,ITS-Mam-180661,Monachus schauinslandi,1,NA,ANIMALIA,EN,13654
MARINE_MAMMALS,13704,Mammalia,Monodon monoceros,ITS-Mam-180485,Monodon monoceros,1,NA,ANIMALIA,LC,13704
GROUPERS,14049,Actinopterygii,Mycteroperca jordani,Fis-24803,Mycteroperca jordani,NA,NA,ANIMALIA,EN,14049
GROUPERS,14050,Actinopterygii,Mycteroperca microlepis,Fis-23649,Mycteroperca microlepis,NA,NA,ANIMALIA,VU,14050
GROUPERS,14051,Actinopterygii,Mycteroperca olfax,Fis-26901,Mycteroperca olfax,1,NA,ANIMALIA,VU,14051
GROUPERS,14052,Actinopterygii,Mycteroperca prionura,Fis-33369,Mycteroperca prionura,NA,NA,ANIMALIA,DD,14052
GROUPERS,14053,Actinopterygii,Mycteroperca rosacea,Fis-27393,Mycteroperca rosacea,1,NA,ANIMALIA,LC,14053
GROUPERS,14054,Actinopterygii,Mycteroperca rubra,Fis-23650,Mycteroperca rubra,NA,NA,ANIMALIA,LC,14054
MARINE_MAMMALS,14549,Mammalia,Neophoca cinerea,ITS-Mam-180623,Neophoca cinerea,1,NA,ANIMALIA,EN,14549
MARINE_MAMMALS,15106,Mammalia,Odobenus rosmarus,ITS-Mam-180639,Odobenus rosmarus,NA,NA,ANIMALIA,VU,15106
MARINE_MAMMALS,15269,Mammalia,Ommatophoca rossii,ITS-Mam-180665,Ommatophoca rossii,1,NA,ANIMALIA,LC,15269
MARINE_MAMMALS,15419,Mammalia,Orcaella brevirostris,ITS-Mam-180471,Orcaella brevirostris,1,NA,ANIMALIA,EN,15419
SEABREAMS_PORGIES,15873,Actinopterygii,Pagrus pagrus,Fis-23707,Pagrus pagrus,1,NA,ANIMALIA,LC,15873
MARINE_MAMMALS,16564,Mammalia,Peponocephala electra,ITS-Mam-180459,Peponocephala electra,1,NA,ANIMALIA,LC,16564
MARINE_MAMMALS,17013,Mammalia,Phoca vitulina,ITS-Mam-180649,Phoca vitulina,1,NA,ANIMALIA,LC,17013
MARINE_MAMMALS,17026,Mammalia,Phocarctos hookeri,ITS-Mam-180617,Phocarctos hookeri,1,NA,ANIMALIA,EN,17026
MARINE_MAMMALS,17027,Mammalia,Phocoena phocoena,ITS-Mam-180473,Phocoena phocoena,1,NA,ANIMALIA,LC,17027
MARINE_MAMMALS,17028,Mammalia,Phocoena sinus,ITS-Mam-180474,Phocoena sinus,1,NA,ANIMALIA,CR,17028
MARINE_MAMMALS,17029,Mammalia,Phocoena spinipinnis,ITS-Mam-180476,Phocoena spinipinnis,1,NA,ANIMALIA,NT,17029
MARINE_MAMMALS,17032,Mammalia,Phocoenoides dalli,ITS-Mam-180480,Phocoenoides dalli,1,NA,ANIMALIA,LC,17032
MARINE_MAMMALS,17978,Mammalia,Pontoporia blainvillei,ITS-Mam-180411,Pontoporia blainvillei,1,NA,ANIMALIA,VU,17978
MARINE_MAMMALS,18596,Mammalia,Pseudorca crassidens,ITS-Mam-180463,Pseudorca crassidens,1,NA,ANIMALIA,NT,18596
WRASSE,19950,Actinopterygii,Scarus guacamaia,Fis-30607,Scarus guacamaia,NA,NA,ANIMALIA,NT,19950
TUNAS_BILLFISHES,20047,Actinopterygii,Scomberomorus concolor,Fis-22821,Scomberomorus concolor,1,NA,ANIMALIA,VU,20047
MARINE_MAMMALS,20729,Mammalia,Stenella attenuata,ITS-Mam-180430,Stenella attenuata,1,NA,ANIMALIA,LC,20729
MARINE_MAMMALS,20730,Mammalia,Stenella clymene,ITS-Mam-180435,Stenella clymene,1,NA,ANIMALIA,LC,20730
MARINE_MAMMALS,20731,Mammalia,Stenella coeruleoalba,ITS-Mam-180434,Stenella coeruleoalba,1,NA,ANIMALIA,LC,20731
MARINE_MAMMALS,20732,Mammalia,Stenella frontalis,ITS-Mam-552460,Stenella frontalis,1,NA,ANIMALIA,LC,20732
MARINE_MAMMALS,20733,Mammalia,Stenella longirostris,ITS-Mam-180429,Stenella longirostris,1,NA,ANIMALIA,LC,20733
MARINE_MAMMALS,20738,Mammalia,Steno bredanensis,ITS-Mam-180417,Steno bredanensis,1,NA,ANIMALIA,LC,20738
PUFFERFISH,21341,Actinopterygii,Takifugu niphobles,Fis-28765,Takifugu niphobles,NA,NA,ANIMALIA,LC,21341
PUFFERFISH,21342,Actinopterygii,Takifugu poecilonotus,Fis-55125,Takifugu poecilonotus,NA,NA,ANIMALIA,LC,21342
PUFFERFISH,21343,Actinopterygii,Takifugu xanthopterus,Fis-28762,Takifugu xanthopterus,NA,NA,ANIMALIA,LC,21343
MARINE_MAMMALS,21500,Mammalia,Tasmacetus shepherdi,ITS-Mam-180500,Tasmacetus shepherdi,NA,NA,ANIMALIA,DD,21500
WRASSE,21689,Actinopterygii,Thalassoma ascensionis,Fis-52020,Thalassoma ascensionis,1,NA,ANIMALIA,DD,21689
TUNAS_BILLFISHES,21856,Actinopterygii,Thunnus alalunga,Fis-22832,Thunnus alalunga,1,NA,ANIMALIA,NT,21856
TUNAS_BILLFISHES,21857,Actinopterygii,Thunnus albacares,Fis-22833,Thunnus albacares,1,NA,ANIMALIA,NT,21857
TUNAS_BILLFISHES,21858,Actinopterygii,Thunnus maccoyii,Fis-22835,Thunnus maccoyii,1,NA,ANIMALIA,CR,21858
TUNAS_BILLFISHES,21859,Actinopterygii,Thunnus obesus,Fis-22836,Thunnus obesus,1,NA,ANIMALIA,VU,21859
TUNAS_BILLFISHES,21860,Actinopterygii,Thunnus thynnus,Fis-49220,Thunnus thynnus,1,NA,ANIMALIA,EN,21860
PUFFERFISH,21994,Actinopterygii,Torquigener brevipinnis,Fis-27843,Torquigener brevipinnis,NA,NA,ANIMALIA,LC,21994
MARINE_MAMMALS,22103,Mammalia,Trichechus manatus,ITS-Mam-180684,Trichechus manatus,1,NA,ANIMALIA,VU,22103
MARINE_MAMMALS,22563,Mammalia,Tursiops truncatus,ITS-Mam-180426,Tursiops truncatus,1,NA,ANIMALIA,LC,22563
TUNAS_BILLFISHES,23148,Actinopterygii,Xiphias gladius,Fis-29576,Xiphias gladius,1,NA,ANIMALIA,LC,23148
MARINE_MAMMALS,23211,Mammalia,Ziphius cavirostris,ITS-Mam-180498,Ziphius cavirostris,1,NA,ANIMALIA,LC,23211
GROUPERS,39303,Actinopterygii,Dermatolepis inermis,Fis-24556,Dermatolepis inermis,NA,NA,ANIMALIA,DD,39303
GROUPERS,39773,Actinopterygii,Cephalopholis boenak,Fis-26117,Cephalopholis boenak,NA,NA,ANIMALIA,LC,39773
GROUPERS,39774,Actinopterygii,Cromileptes altivelis,Fis-26129,Cromileptes altivelis,1,NA,ANIMALIA,DD,39774
MARINE_MAMMALS,40635,Mammalia,Indopacetus pacificus,ITS-Mam-180502,Indopacetus pacificus,1,NA,ANIMALIA,DD,40635
MARINE_MAMMALS,41664,Mammalia,Arctocephalus forsteri,ITS-Mam-180631,Arctocephalus forsteri,1,NA,ANIMALIA,LC,41664
MARINE_MAMMALS,41665,Mammalia,Otaria byronia,ITS-Mam-180619,Otaria flavescens,1,NA,ANIMALIA,LC,41665
MARINE_MAMMALS,41666,Mammalia,Zalophus californianus,ITS-Mam-180621,Zalophus californianus,1,NA,ANIMALIA,LC,41666
MARINE_MAMMALS,41668,Mammalia,Zalophus wollebaeki,ITS-Mam-622014,Zalophus wollebaeki,1,NA,ANIMALIA,EN,41668
MARINE_MAMMALS,41670,Mammalia,Histriophoca fasciata,ITS-Mam-622021,Histriophoca fasciata,NA,NA,ANIMALIA,LC,41670
MARINE_MAMMALS,41671,Mammalia,Pagophilus groenlandicus,ITS-Mam-622022,Pagophilus groenlandicus,1,NA,ANIMALIA,LC,41671
MARINE_MAMMALS,41672,Mammalia,Pusa hispida,ITS-Mam-622018,Pusa hispida,NA,NA,ANIMALIA,LC,41672
MARINE_MAMMALS,41711,Mammalia,Eubalaena japonica,ITS-Mam-612591,Eubalaena japonica,1,NA,ANIMALIA,EN,41711
MARINE_MAMMALS,41712,Mammalia,Eubalaena glacialis,ITS-Mam-180537,Eubalaena glacialis,1,NA,ANIMALIA,EN,41712
MARINE_MAMMALS,41714,Mammalia,Tursiops aduncus,ITS-Mam-612596,Tursiops aduncus,1,NA,ANIMALIA,DD,41714
MARINE_MAMMALS,41715,Mammalia,Phocoena dioptrica,ITS-Mam-180475,Phocoena dioptrica,1,NA,ANIMALIA,LC,41715
MARINE_MAMMALS,41755,Mammalia,Physeter macrocephalus,ITS-Mam-180488,Physeter macrocephalus,1,NA,ANIMALIA,VU,41755
MARINE_MAMMALS,41760,Mammalia,Mesoplodon traversii,ITS-Mam-612598,Mesoplodon traversii,1,NA,ANIMALIA,DD,41760
GROUPERS,43974,Actinopterygii,Epinephelus akaara,Fis-25493,Epinephelus akaara,1,NA,ANIMALIA,EN,43974
GROUPERS,44672,Actinopterygii,Dermatolepis striolata,Fis-26130,Dermatolepis striolata,NA,NA,ANIMALIA,LC,44672
GROUPERS,44673,Actinopterygii,Epinephelus fuscoguttatus,Fis-25130,Epinephelus fuscoguttatus,1,NA,ANIMALIA,VU,44673
GROUPERS,44674,Actinopterygii,Epinephelus coioides,Fis-26136,Epinephelus coioides,1,NA,ANIMALIA,LC,44674
GROUPERS,44675,Actinopterygii,Hyporthodus quernus,Fis-163783,Hyporthodus quernus,NA,NA,ANIMALIA,LC,44675
GROUPERS,44677,Actinopterygii,Epinephelus albomarginatus,Fis-31618,Epinephelus albomarginatus,1,NA,ANIMALIA,VU,44677
GROUPERS,44681,Actinopterygii,Epinephelus morio,Fis-22721,Epinephelus morio,NA,NA,ANIMALIA,VU,44681
GROUPERS,44682,Actinopterygii,Mycteroperca tigris,Fis-23651,Mycteroperca tigris,NA,NA,ANIMALIA,DD,44682
GROUPERS,44683,Actinopterygii,Mycteroperca venenosa,Fis-23652,Mycteroperca venenosa,NA,NA,ANIMALIA,NT,44683
GROUPERS,44684,Actinopterygii,Plectropomus leopardus,Fis-25341,Plectropomus leopardus,NA,NA,ANIMALIA,LC,44684
GROUPERS,44686,Actinopterygii,Epinephelus cifuentesi,Fis-33251,Epinephelus cifuentesi,NA,NA,ANIMALIA,LC,44686
GROUPERS,61336,Actinopterygii,Epinephelus awoara,Fis-26492,Epinephelus awoara,NA,NA,ANIMALIA,DD,61336
GROUPERS,61337,Actinopterygii,Epinephelus daemelii,Fis-26498,Epinephelus daemelii,NA,NA,ANIMALIA,NT,61337
GROUPERS,61338,Actinopterygii,Epinephelus malabaricus,Fis-26113,Epinephelus malabaricus,NA,NA,ANIMALIA,LC,61338
GROUPERS,61339,Actinopterygii,Epinephelus polyphekadion,Fis-26142,Epinephelus polyphekadion,NA,NA,ANIMALIA,VU,61339
WRASSE,63571,Actinopterygii,Bolbometopon muricatum,Fis-25689,Bolbometopon muricatum,1,NA,ANIMALIA,VU,63571
GROUPERS,64396,Actinopterygii,Epinephelus bruneus,Fis-32305,Epinephelus bruneus,1,NA,ANIMALIA,VU,135381188
GROUPERS,64400,Actinopterygii,Hyporthodus flavolimbatus,Fis-163777,Hyporthodus flavolimbatus,NA,NA,ANIMALIA,VU,64400
GROUPERS,64406,Actinopterygii,Epinephelus timorensis,Fis-32318,Epinephelus timorensis,NA,NA,ANIMALIA,LC,64406
GROUPERS,64407,Actinopterygii,Epinephelus tuamotuensis,Fis-32320,Epinephelus tuamotuensis,NA,NA,ANIMALIA,LC,64407
GROUPERS,64408,Actinopterygii,Epinephelus undulatostriatus,Fis-26516,Epinephelus undulatostriatus,NA,NA,ANIMALIA,LC,64408
