kingdom,phylum,class_iucn,iucn_sid,iucn_sciname,iucn_sid_other,redlist_category,am_sid,am_sciname,class_am,am_sid_old
ANIMALIA,Chordata,Actinopterygii,183628,Emblemaria piratica,NA,LC,Fis-113671,Emblemaria piratica,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,184020,Emblemaria walkeri,NA,DD,Fis-113673,Emblemaria walkeri,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183535,Mccoskerichthys sandae,NA,NT,Fis-113675,Mccoskerichthys sandae,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178937,Enneapterygius niger,NA,LC,Fis-113679,Enneapterygius niger,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,154713,Stathmonotus sinuscalifornici,NA,LC,Fis-113680,Stathmonotus sinuscalifornici,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179006,Enneapterygius atrogulare,NA,LC,Fis-113698,Enneapterygius atrogulare,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183345,Aruma histrio,NA,LC,Fis-113707,Aruma histrio,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183770,Cerdale ionthas,NA,DD,Fis-113726,Cerdale ionthas,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,184011,Barbulifer pantherinus,NA,DD,Fis-113732,Barbulifer pantherinus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183463,Bollmannia gomezi,NA,DD,Fis-113736,Bollmannia gomezi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183369,Chriolepis minutillus,NA,DD,Fis-113740,Chriolepis minutillus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183492,Chriolepis zebra,NA,LC,Fis-113745,Chriolepis zebra,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,184036,Microgobius miraflorensis,NA,LC,Fis-113782,Microgobius miraflorensis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,155051,Microgobius tabogensis,NA,LC,Fis-113787,Microgobius tabogensis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,184013,Parrella maxillaris,NA,LC,Fis-113814,Parrella maxillaris,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183681,Pycnomma semisquamatum,NA,DD,Fis-113821,Pycnomma semisquamatum,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183285,Microgobius emblematicus,NA,LC,Fis-113822,Microgobius emblematicus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183417,Lythrypnus rhizophora,NA,DD,Fis-113825,Lythrypnus rhizophora,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183335,Lythrypnus pulchellus,NA,LC,Fis-113838,Lythrypnus pulchellus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183454,Gobiosoma chiquita,NA,LC,Fis-113852,Gobiosoma chiquita,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183916,Gobulus hancocki,NA,LC,Fis-113878,Gobulus hancocki,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,155278,Microgobius erectus,NA,LC,Fis-113900,Microgobius erectus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183517,Elacatinus puncticulatus,NA,LC,Fis-113908,Elacatinus puncticulatus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179035,Ceratobregma acanthops,NA,LC,Fis-113918,Ceratobregma acanthops,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183475,Ctenogobius sagittula,NA,LC,Fis-113923,Ctenogobius sagittula,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183871,Ctenogobius manglicola,NA,LC,Fis-113926,Ctenogobius manglicola,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179064,Ceratobregma helenae,NA,LC,Fis-113929,Ceratobregma helenae,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183459,Microgobius cyclolepis,NA,LC,Fis-113951,Microgobius cyclolepis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183975,Microgobius curtus,NA,LC,Fis-113956,Microgobius curtus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,183446,Tomicodon boehlkei,NA,LC,Fis-113987,Tomicodon boehlkei,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179057,Enneapterygius gracilis,NA,LC,Fis-114007,Enneapterygius gracilis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178934,Enneapterygius kermadecensis,NA,LC,Fis-114103,Enneapterygius kermadecensis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179019,Enneapterygius larsonae,NA,LC,Fis-114110,Enneapterygius larsonae,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179037,Enneapterygius mirabilis,NA,LC,Fis-114150,Enneapterygius mirabilis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178977,Enneapterygius paucifasciatus,NA,LC,Fis-114172,Enneapterygius paucifasciatus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178957,Enneapterygius pyramis,NA,LC,Fis-114174,Enneapterygius pyramis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178889,Enneapterygius rhabdotus,NA,LC,Fis-114179,Enneapterygius rhabdotus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179014,Forsterygion varium,NA,LC,Fis-114184,Forsterygion varium,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,189752,Ruanoho whero,NA,LC,Fis-114188,Ruanoho whero,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179088,Gilloblennius tripennis,NA,LC,Fis-114189,Gilloblennius tripennis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178970,Notoclinus fenestratus,NA,LC,Fis-114191,Notoclinus fenestratus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179113,Notoclinus compressus,NA,LC,Fis-114193,Notoclinus compressus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178988,Notoclinops yaldwyni,NA,LC,Fis-114195,Notoclinops yaldwyni,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178972,Cristiceps aurantiacus,NA,LC,Fis-114196,Cristiceps aurantiacus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,179005,Ericentrus rubrus,NA,LC,Fis-114197,Ericentrus rubrus,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,154658,Plectranthias bilaticlavia,NA,LC,Fis-114213,Plectranthias bilaticlavia,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,154786,Amblyeleotris callopareia,NA,DD,Fis-114246,Amblyeleotris callopareia,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178963,Enneapterygius triserialis,NA,LC,Fis-114247,Enneapterygius triserialis,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,178932,Enneapterygius tutuilae,NA,LC,Fis-114251,Enneapterygius tutuilae,Actinopterygii,NA
